FIRST_NAME,MIDDLE_NAME,LAST_NAME,SSN,Credit_cardNO,APT_NO,STREET_NAME,CUST_CITY,CUST_STATE,CUST_COUNTRY,CUST_ZIP,CUST_PHONE,CUST_EMAIL
Olivia,Nathaniel,Harper,982734982,4012888888881881,APT123,Rosewood Avenue,Dublin,OH,USA,43017,6142768820,olivia.harper@mail.com
Ethan,Julianne,Parker,238649752,6011000990139424,APT904,Lakewood Circle,Phoenix,AZ,USA,85022,6025554712,ethan.parker@webmail.net
Sophia,Callum,Brooks,167829340,5105105105105100,APT728,Winding Brook Court,Austin,TX,USA,78731,5128947328,sophia.brooks@domain.org
Jackson,Isobel,Lawson,759328671,378282246310005,APT498,Elm Crossing,Raleigh,NC,USA,27609,9194523657,jackson.lawson@example.biz
Amelia,Zachary,Frost,472983160,4556737586899855,APT712,Park Lane East,Boston,MA,USA,02115,6173427658,amelia.frost@coolmail.co
Hannah,Benjamin,Steele,892731046,2223000048400011,APT564,Ridgeview Drive,Portland,OR,USA,97225,5037654289,hannah.steele@inboxnow.info
Liam,Victoria,Collins,328192467,341111597205138,APT301,Bluejay Road,Atlanta,GA,USA,30341,4049173642,liam.collins@email.net
Zoe,Maxwell,Flynn,230486712,3566002020360505,APT402,Hawthorne Street,Columbus,OH,USA,43220,6147289641,zoe.flynn@message.com
Lucas,Isla,Young,765923471,5404000000000001,APT220,Maple Grove,San Jose,CA,USA,95128,4085736942,lucas.young@e-service.us
Charlotte,Logan,Morris,492183057,6011111111111117,APT390,Rainbow Drive,Nashville,NC,USA,37211,6157854239,charlotte.morris@mailhub.co
Emma,Owen,Meyer,283746591,345987234567890,APT356,Pine Crest,Miami,FL,USA,33176,3056358741,emma.meyer@mailplace.co
Benjamin,Ava,Carter,671092834,4024007183831832,APT582,Lakefront Boulevard,Charlotte,NC,USA,28262,7048293746,ben.carter@fastmail.net
Grace,Daniel,Evans,729381056,5402250000000002,APT841,Autumn Hill Road,Philadelphia,PA,USA,19116,2156749205,grace.evans@quickmail.biz
Noah,Madeline,Hayes,480137295,6011534000263519,APT943,Misty Hollow Street,Chicago,IL,USA,60623,3125784920,noah.hayes@worldmail.org
Harper,Luke,Knight,359287104,374245455400126,APT461,Highridge Drive,Dallas,TX,USA,75220,2143768957,harper.knight@global.co
David,Eliana,Black,938217560,5500005555555559,APT237,Goldenrod Avenue,Los Angeles,CA,USA,90047,3236739247,david.black@network.biz
Victoria,Caleb,Baldwin,721493206,6011122222222222,APT719,Jasmine Court,Phoenix,AZ,USA,85033,6024792846,victoria.baldwin@newwave.co
Aria,Ethan,Fowler,893761205,6011150000000000,APT333,Crimson Clover Lane,San Diego,CA,USA,92122,8589381724,aria.fowler@domainmail.info
Jack,Sophia,Boone,167493082,4532110051234567,APT248,Rose Petal Path,Houston,TX,USA,77095,7138425963,jack.boone@webhost.org
Isabella,Nathan,Hale,738902165,4716170012345678,APT567,Starry Night Drive,Baltimore,MD,USA,21212,4109427834,isabella.hale@myinbox.org
William,Evelyn,Beck,503928471,5137551000000003,APT444,Brookview Way,San Antonio,TX,USA,78230,2109341678,william.beck@digital.com
Mia,Aiden,Fox,627193028,4916930123456789,APT712,Shady Oaks Boulevard,Indianapolis,IN,USA,46240,3176437982,mia.fox@freeemail.biz
Oliver,Clara,Duncan,284017635,5587002000000000,APT194,Clearwater Avenue,San Francisco,CA,USA,94118,4157614832,oliver.duncan@webcentral.co
Emily,Gabriel,Barrett,816237405,6011600000000001,APT731,Willow Bend Lane,Orlando,FL,USA,32817,4073892461,emily.barrett@openmail.us
Samuel,Avery,Pierce,782049136,4539470031234567,APT642,Pebble Beach Drive,Memphis,TX,USA,38125,9016547832,samuel.pierce@connected.co
